sector,source,destination,Z_2000,Z_2001,Z_2002,Z_2003,Z_2004,Z_2005,Z_2006,Z_2007,Z_2008,Z_2009,Z_2010,Z_2011,Z_2012,Z_2013,Z_2014,simpleaverage2000,simpleaverage2001,simpleaverage2002,simpleaverage2003,simpleaverage2004,simpleaverage2005,simpleaverage2006,simpleaverage2007,simpleaverage2008,simpleaverage2009,simpleaverage2010,simpleaverage2011,simpleaverage2012,simpleaverage2013,simpleaverage2014,weightedaverage2000,weightedaverage2001,weightedaverage2002,weightedaverage2003,weightedaverage2004,weightedaverage2005,weightedaverage2006,weightedaverage2007,weightedaverage2008,weightedaverage2009,weightedaverage2010,weightedaverage2011,weightedaverage2012,weightedaverage2013,weightedaverage2014,value2000,value2001,value2002,value2003,value2004,value2005,value2006,value2007,value2008,value2009,value2010,value2011,value2012,value2013,value2014
Textiles,CAN,AUS,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.1151667,1.1160667,1.108,1.1116166,1.1127167,1.0828999,1.08345,1.0864834,1.0836667,1.0819,1.05485,1.0557166,1.02975,1.0523499,1.0302167,1.1144,1.1211001,1.12955,1.1212833,1.1326833,1.1014833,1.09855,1.09325,1.0990334,1.0952834,1.0607166,1.0639334,1.0621667,1.06215,1.02705,.011702759,.0097167417,.008815133,.01166971,.01470015,.022747075,.02499716,.022731854,.023083102,.020810118,.034879088,.036036659,.036747452,.039514005,.03727309
Textiles,CAN,BRA,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.2147501,1.2109001,1.201,1.1590834,1.16635,1.1787,1.1638,1.15395,1.256475,1.2131333,1.23105,1.3080001,1.29265,1.307025,1.2222166,1.2228251,1.21455,1.20605,1.1624666,1.1636167,1.170825,1.16355,1.1488667,1.218325,1.2061833,1.2272667,1.3011501,1.29655,1.2972751,1.2115166,.003026214,.0036720349,.0020236119,.0039840899,.0050153178,.0049527711,.003870744,.007663053,.0096721612,.0085197156,.0093632294,.016079355,.012768244,.010611475,.0092019746
Textiles,CAN,CAN,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.6938585,.64845395,.61226857,.62982816,.6084615,.57405174,.59643215,1.3391469,2.3306603,2.3537312,2.1762924,1.8765696,2.0302675,2.0286202,1.6103028
Textiles,CAN,CHN,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.2234,1.1215833,1.1232001,1.1213667,1.11955,1.1193666,1.11735,1.1169333,1.1184167,1.1200666,1.11695,1.1156167,1.1181833,1.1216,1.1169167,1.2223667,1.10395,1.1003,1.1015166,1.1023,1.1027,1.0961,1.1019833,1.0986166,1.1122,1.1010166,1.10385,1.1004333,1.1049666,1.09875,.0085322959,.029357055,.025077708,.021289647,.033228867,.036899954,.023307523,.022367235,.024422379,.026774758,.025937423,.03140635,.02981797,.033134066,.035127874
Textiles,CAN,EUC,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.062981,1.0646088,1.0630187,1.0639806,1.0636991,1.0646259,1.0643045,1.0630528,1.0637586,1.0657094,1.0585134,1.0585146,1.0580583,1.0573074,1.0565403,1.0675049,1.0701518,1.070835,1.0708274,1.0704809,1.0684819,1.0652403,1.0675666,1.0674934,1.0695544,1.0644703,1.0604585,1.0592362,1.0617535,1.0622677,.3155134,.30717894,.34547105,.48138326,.50351083,.52148467,.59412837,.50047177,.52131659,.53635138,.58543587,.61745584,.52429247,.48906857,.44685432
Textiles,CAN,GBR,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.0646334,1.0641,1.064,1.0653833,1.0649834,1.06515,1.0658001,1.0646167,1.06525,1.0663834,1.06505,1.0651833,1.06635,1.0654501,1.0646334,1.0700667,1.0711,1.0732167,1.0724334,1.0729333,1.0697334,1.0673333,1.0695833,1.06935,1.0709833,1.0707999,1.0662667,1.0677,1.07055,1.0711833,.04913792,.0461118,.041446771,.050436027,.056966584,.062634788,.06551183,.064288281,.064068653,.051390734,.054213978,.050689861,.05699145,.052786987,.03686678
Textiles,CAN,IDN,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.1227751,1.0935833,1.10625,1.08855,1.0766667,1.1041501,1.08875,1.1312499,1.0819,1,1.11405,1.1254749,1.0805,1.0821166,1.0809333,1.10145,1.0762334,1.100075,1.0833499,1.0667334,1.07865,1.0847833,1.1264501,1.08,1,1.1149499,1.1217999,1.0749834,1.0784334,1.0776334,.001102941,.000815087,.001230791,.0016149,.001069554,.00103167,.0019927931,.001707605,.0028420801,.0021463081,.002261369,.0035610241,.002587805,.001675582,.001693545
Textiles,CAN,IND,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.2716666,1.2698001,1.2635499,1.2388834,1.1958333,1.1383833,1.1673833,1.1,1.0714,1.1,1.0958834,1.0936334,1.1,1.1,1.0851834,1.2616833,1.2657501,1.2451833,1.238,1.1970834,1.1401999,1.1569834,1.1,1.0515833,1.1,1.0980166,1.0899,1.1,1.1,1.0838833,.0039372691,.006144132,.021617377,.012732039,.018946977,.014404801,.014050757,.019507824,.011150881,.013856177,.013565654,.009779064,.012609108,.018270932,.018753823
Textiles,CAN,JPN,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.0993,1.0984333,1.11115,1.1117001,1.1066333,1.1105334,1.1107666,1.0969167,1.1062499,1.1064333,1.1047167,1.0986333,1.0823667,1.0794834,1.1028167,1.0935667,1.09405,1.1075333,1.1081166,1.1084666,1.1079834,1.11,1.1065333,1.10905,1.1065834,1.1023,1.0961167,1.0755666,1.07645,1.1005499,.042189237,.032985918,.028395208,.030906403,.028068136,.036854852,.035716649,.031324051,.031570699,.029466113,.032497164,.051301572,.05467103,.064292409,.069998354
Textiles,CAN,KOR,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.0957167,1.097,1.0912666,1.0956333,1.0937166,1.0978833,1.0948334,1.0958333,1.0927833,1.0942667,1.0967333,1.0953001,1.0918167,1.0934166,1.0926332,1.0856833,1.0845834,1.0845166,1.0861334,1.0874333,1.0978833,1.0973001,1.0956167,1.0928167,1.0928,1.0908667,1.0874333,1.0894167,1.0962,1.0892167,.017229766,.018373044,.016212765,.017097579,.012898597,.014149051,.013210724,.012874608,.012964672,.013486824,.014273564,.01606215,.018223574,.024291649,.032389417
Textiles,CAN,MEX,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.24225,1.0075999,1.0043833,1.2406167,1,1,1,1,1,1,1.17145,1.1201333,1.11035,1.1130999,1,1.2452666,1.0022167,1.002,1.2419333,1,1,1,1,1,1,1.1715,1.1186334,1.1253167,1.1118333,1,.063464046,.062572941,.045986421,.084195755,.077640265,.085424639,.078990743,.071798392,.061412197,.047149818,.059740864,.082674943,.13305552,.1258993,.12289725
Textiles,CAN,ROW,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.0009042,1.0008888,1.0007243,1.0008551,1.000735,1.0009995,1.0009917,1.0007619,1.000698,1.0007731,1.000769,1.0007024,1.0007808,1.0007696,1.0008014,1.0008229,1.0008554,1.0006349,1.0007938,1.0006366,1.0009521,1.0010356,1.0007324,1.0007083,1.0007619,1.0007168,1.0006847,1.0006747,1.0007108,1.0007955,.38426265,.34521776,.32880813,.44285384,.41968128,.52525783,.60529649,.61634862,.63197136,.49265298,.573569,.65038413,.66283566,.78971553,.79596251
Textiles,CAN,RUS,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1,1.1153001,1.1450667,1,1,1.1326166,1,1.0589666,1.0522333,1.05665,1.0563333,1.0551333,1.0617501,1.1061,1.0515833,1,1.1274333,1.1258501,1,1,1.1301,1,1.0394833,1.0438666,1.0408334,1.0397667,1.0327166,1.0439667,1.0953833,1.0312667,.012886166,.0081312023,.011684955,.035113856,.018819014,.019261556,.025345257,.039719362,.042134333,.03419587,.035382744,.059900284,.064744405,.083838031,.12029736
Textiles,CAN,TUR,4.4050837,4.1679158,4.1618299,4.06815,3.6168532,3.5175178,3.3622534,3.3129284,3.238251,3.2345338,3.3522735,3.5163813,3.5938818,3.5045712,3.1802728,1.0671167,1.06185,1.06425,1.0725334,1.0682167,1.0607333,1.0658667,1.0676167,1.0742167,1.0675334,1.0657166,1.0738167,1,1.0749334,1,1.0687166,1.0722834,1.0748833,1.0684667,1.0679333,1.0551167,1.0656999,1.0648167,1.0694333,1.0710334,1.0659667,1.07145,1,1.0694166,1,.0010270349,.002916117,.001892228,.001435595,.001754743,.0038441571,.003732251,.0039994218,.0055340058,.0044606021,.0057253311,.0065645468,.0081856707,.0065716449,.0067632631
